,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
128,22.03.2018,גבין משה 5,3629-226-2,קוטג' דו משפחתי,1,NaN,100,"7,100,000",NaN
129,18.07.2017,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"2,350,000",NaN
130,02.03.2005,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,217,000",NaN
131,25.01.2005,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"958,000",NaN
132,16.01.2005,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,111,000",NaN
133,07.11.2004,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,055,000",NaN
134,26.10.2004,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,322,000",NaN
135,25.10.2004,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1,ראשונה,121.20,"1,061,000",NaN
136,28.06.2017,NaN,3947-60-91,עסק,1,שניה,131,"1,083,211",NaN
137,27.06.2017,NaN,3947-60-36,עסק,1,שלישית,114,"1,600,649",NaN
138,14.06.2017,מבצע הראל 56,5384-6-2,קוטג' דו משפחתי,1,"מרתף, קרקע, ראשונה, שניה",220,"3,500,000",123% ב 16.7 שנים
139,27.09.2000,מבצע הראל 56,5384-6-2,קוטג' דו משפחתי,1,"מרתף, קרקע, ראשונה, שניה",220,"1,567,000",123% ב 16.7 שנים
140,14.06.2017,NaN,3947-60-33,עסק,1,שניה,202,"1,014,996",NaN
141,21.11.2016,NaN,3628-294-2,קוטג' דו משפחתי,1,"מרתף, קרקע, ראשונה",249.54,"5,200,000",NaN
142,09.10.2016,חיל התותחנים 26,2717-23-27,דירה בבית קומות,1,שישית,121.40,"2,690,000",NaN
143,22.09.2016,פינס 2,3928-116-10,דירה בבית קומות,1,שלישית,NaN,"619,000",NaN
144,18.09.2016,פינס 2,3928-116-10,דירה בבית קומות,1,שלישית,NaN,"360,000",NaN
145,06.09.2016,השומר 46,3938-243-1,קוטג' דו משפחתי,1,NaN,80,"3,299,000",NaN
146,09.08.2016, ,3928-433-13,קוטג' דו משפחתי,1,NaN,221,"3,320,000",NaN
147,16.06.2016,הגלבוע 1,3923-354-4,קוטג' טורי,1,"קרקע, ראשונה",157.73,"2,700,000",NaN
148,23.05.2016,רוטשילד 121,3923-166-10,דירה בבית קומות,1,שניה,62.35,"1,280,000",NaN
149,12.04.2016,האשכולית 9,3628-54-1,בית בודד,1,NaN,70,"900,000",NaN
150,10.03.2016,לאונר נעם 10,7374-34-1,קוטג' דו משפחתי,1,NaN,360,"5,400,000",NaN
151,24.02.2016,הנחשול 46,5384-47-31,דירת גג,1,תשיעית,196.60,"3,850,000",NaN
152,04.02.2016,וולפסון 15,3926-632-2,דירה בבית קומות,1,ראשונה,NaN,"630,000",NaN
153,02.02.2016,הפזית 21,6824-184-1,קוטג' דו משפחתי,1,שניה,250,"6,000,000",NaN
154,20.09.2015,מאירוביץ 44,3925-184-2,קוטג' חד משפחתי,1,--------,27,"2,053,000",NaN
155,07.09.2015,אוסישקין 12,3928-287-2,דירה בבית קומות,1,קרקע,26.26,"729,000",NaN
156,15.07.2015,יחזקאל הנביא 10,4247-189-1,קוטג' דו משפחתי,1,ראשונה,100,"1,140,000",NaN
157,11.06.2015,בלפור 8,3931-4-2,קוטג' דו משפחתי,1,ראשונה,100,"500,000",NaN
158,21.05.2015,הרקפת 120,4243-211-5,קוטג' דו משפחתי,1,ראשונה,308,"2,400,000",NaN
159,13.05.2015,אלרואי 8,3929-789-1,דירה בבית קומות,1,ראשונה,NaN,"200,000",NaN
160,14.04.2015,הירמוך 12,3923-279-34,דירה בבית קומות,1,ראשונה,29.10,"250,000",190% ב 6.4 שנים
161,30.11.2008,הירמוך 12,3923-279-34,דירה בבית קומות,1,ראשונה,29.10,"86,000",190% ב 6.4 שנים
162,26.03.2015,האלה 11,4242-565-0,קוטג' דו משפחתי,1,ראשונה,1097,"3,120,000",NaN
163,11.03.2015,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"2,090,000",30% ב 6.2 שנים
164,04.12.2008,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,600,000",30% ב 6.2 שנים
165,11.12.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,100,000",30% ב 6.2 שנים
166,14.11.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,289,000",30% ב 6.2 שנים
167,26.09.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,315,000",30% ב 6.2 שנים
168,22.09.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,237,000",30% ב 6.2 שנים
169,22.09.2005,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1,ראשונה,121.40,"1,066,000",30% ב 6.2 שנים
170,01.02.2015,הכרמל 9,3936-149-7,דירה בבית קומות,1,חצר,NaN,"470,000",17% ב 0.5 שנים
171,18.08.2014,הכרמל 9,3936-149-7,דירה בבית קומות,1,חצר,NaN,"400,000",17% ב 0.5 שנים
172,29.04.2013,הכרמל 9,3936-149-7,דירה בבית קומות,1,חצר,NaN,"335,000",17% ב 0.5 שנים
173,15.12.2014,ירושלים 70,3930-549-4,דירה בבית קומות,1,שניה,101.40,"1,515,000",NaN
174,28.11.2014,העסיס 32,5038-9-32,דירה בבית קומות,1,שלישית,96,"1,650,000",NaN
175,13.11.2014,התומר 2,3926-48-5,דירה בבית קומות,1,שניה,71.81,"1,000,000",NaN
176,06.11.2014,צייטלין 17,7282-80-20,דירה בבית קומות,1,שניה,NaN,"90,000",NaN
177,05.11.2014,נורדאו 85,3925-675-1,קוטג' דו משפחתי,1,מרתף קרקע וראשונה,192.12,"2,725,000",NaN
178,05.11.2014,גלילי ישראל 19,3946-412-129,דירה בבית קומות,1,קומה ‎17‏,172,"5,342,000",NaN
